wavelength_nm,n,k
373,1.53051811488797,4.63375801010913e-07
374,1.53036028437757,4.43293892760382e-07
375,1.5302038099548,4.23832614819047e-07
376,1.530048659357,4.05355409048064e-07
377,1.52989483298694,3.87716645933917e-07
378,1.5297423312441,3.70736578244708e-07
379,1.5295911218362,3.54822900885065e-07
380,1.52944120514654,3.39144667289884e-07
381,1.52929254886045,3.2442124272998e-07
382,1.52914512064751,3.10430923938746e-07
383,1.52899895356409,2.96903533416558e-07
384,1.52885401526767,2.84296036188884e-07
385,1.52871024069314,2.71920674903611e-07
386,1.52856769558959,2.60237592407658e-07
387,1.52842631487424,2.48898462779672e-07
388,1.52828613158664,2.38418579101562e-07
389,1.52814708061759,2.27943935107862e-07
390,1.52800916227621,2.17985195492622e-07
391,1.52787237686923,2.08616256713867e-07
392,1.52773672470097,1.99920056238752e-07
393,1.52760217334227,1.91408881227152e-07
394,1.52746869035016,1.83108534327813e-07
395,1.52733630874147,1.75682099499577e-07
396,1.52720499606308,1.67927558266888e-07
397,1.52707471984839,1.60490417693094e-07
398,1.52694548036268,1.54138809931108e-07
399,1.5268173106171,1.47513969788129e-07
400,1.52669014537987,1.41364827461617e-07
401,1.52656398490205,1.34935753615758e-07
402,1.52643882943275,1.29905311570784e-07
403,1.52631464646056,1.23778341158004e-07
404,1.52619146898416,1.19209289550781e-07
405,1.52606923171919,1.13483862666248e-07
406,1.52594796765814,1.09500724499666e-07
407,1.52582764426393,1.04308128356934e-07
408,1.52570829453078,9.99600281193758e-08
409,1.52558982036457,9.54139864062197e-08
410,1.52547228752279,9.18569267238524e-08
411,1.52535566344378,8.81564584836307e-08
412,1.525239948336,8.42936970217881e-08
413,1.52512507683796,8.16170211889097e-08
414,1.52501114750024,7.74287048385535e-08
415,1.5248980293777,7.45058059692383e-08
416,1.52478582102537,7.14634585874188e-08
417,1.52467442426244,6.82856991135454e-08
418,1.52456390485935,6.49526557853918e-08
419,1.52445419740968,6.3220272766341e-08
420,1.5243453348897,5.96046447753906e-08
421,1.52423728467716,5.77119491429242e-08
422,1.52413004694481,5.57550398524693e-08
423,1.52402358905629,5.37269007483719e-08
424,1.52391794398517,5.16191365590357e-08
425,1.52381307908812,4.9421560620597e-08
426,1.52370899452619,4.71216091538724e-08
427,1.52360569045931,4.4703483581543e-08
428,1.52350313422717,4.2146848510894e-08
429,1.52340132598078,4.2146848510894e-08
430,1.52330026587013,3.94247667650072e-08
431,1.52319995404412,3.94247667650072e-08
432,1.5231003906506,3.65002414998886e-08
433,1.52300151017653,3.65002414998886e-08
434,1.522903378419,3.33200093731253e-08
435,1.52280592985449,3.33200093731253e-08
436,1.5227092302866,2.98023223876953e-08
437,1.52261318134318,2.98023223876953e-08
438,1.52251784882805,2.98023223876953e-08
439,1.52242320003342,2.58095682795178e-08
440,1.52232920224241,2.58095682795178e-08
441,1.52223588842203,2.58095682795178e-08
442,1.52214325869808,2.58095682795178e-08
443,1.52205124749464,2.58095682795178e-08
444,1.52195992062866,2.1073424255447e-08
445,1.52186921251466,2.1073424255447e-08
446,1.52177915611957,2.1073424255447e-08
447,1.52168971870089,2.1073424255447e-08
448,1.52160093322789,2.1073424255447e-08
449,1.52151273409065,2.1073424255447e-08
450,1.52142518711897,2.1073424255447e-08
451,1.52133822669385,1.49011611938477e-08
452,1.52125188578355,1.49011611938477e-08
453,1.52116609875451,1.49011611938477e-08
454,1.52108093144316,1.49011611938477e-08
455,1.52099635108044,1.49011611938477e-08
456,1.52091235776425,1.49011611938477e-08
457,1.52082895159186,1.49011611938477e-08
458,1.52074606690269,1.49011611938477e-08
459,1.52066380242314,1.49011611938477e-08
460,1.52058205960744,1.49011611938477e-08
461,1.52050087142362,1.49011611938477e-08
462,1.52042023796055,1.49011611938477e-08
463,1.52034015930646,1.49011611938477e-08
464,1.52026060265995,1.49011611938477e-08
465,1.52018160099378,1.49011611938477e-08
466,1.52010312150196,1.49011611938477e-08
467,1.52002516426538,1.49011611938477e-08
468,1.51994769646853,0
469,1.51987078398132,0
470,1.51979436108968,0
471,1.51971846076831,0
472,1.51964305019304,0
473,1.51956812943678,0
474,1.51949369857199,0
475,1.51941979057797,0
476,1.51934633971323,0
477,1.51927334604409,0
478,1.51920084254848,0
479,1.51912882929658,0
480,1.51905727344297,0
481,1.51898617505229,0
482,1.51891553418878,0
483,1.51884535091628,0
484,1.51877562529822,0
485,1.51870632447488,0
486,1.51863748142867,0
487,1.5185690632961,0
488,1.51850110306183,0
489,1.51843356785867,0
490,1.51836645774332,0
491,1.51829973984059,0
492,1.5182334800682,0
493,1.5181676455517,0
494,1.51810220341056,0
495,1.51803715369552,0
